Ano,Local,Ouro,Prata,Bronze,Total,Colocação
2020,Tóquio,7.0,6.0,8.0,21.0,12º
2016,Rio de Janeiro,7.0,6.0,6.0,19.0,13º
2012,Londres,3.0,5.0,9.0,17.0,22º
2008,Pequim,3.0,4.0,10.0,17.0,22º
2004,Atenas,5.0,2.0,3.0,10.0,16º
2000,Sydney,,6.0,6.0,12.0,52º
1996,Atlanta,3.0,3.0,9.0,15.0,25º
1992,Barcelona,2.0,1.0,,3.0,25º
1988,Seul,1.0,2.0,3.0,6.0,24º
1984,Los Angeles,1.0,5.0,2.0,8.0,19º
1980,Moscou,2.0,,2.0,4.0,17º
1976,Montreal,,,2.0,2.0,36º
1972,Munique,,,2.0,2.0,41º
1968,Cidade do México,,1.0,2.0,3.0,35º
1964,Tóquio,,,1.0,1.0,35º
1960,Roma,,,2.0,2.0,39º
1956,Melbourne,1.0,,,1.0,24º
1952,Helsinque,1.0,,2.0,3.0,24º
1948,Londres,,,1.0,1.0,34º
1936,Berlim,,,,,sc
1932,Los Angeles,,,,,sc
1928,Amsterdam,,,,,np
1924,Paris,,,,,sc
1920,Antuérpia,1.0,1.0,1.0,3.0,15º
1912,Estocolmo,,,,,np
1908,Londres,,,,,np
1904,St. Louis,,,,,np
1900,Paris,,,,,np
1896,Atenas,,,,,np
