Ano,Local,Ouro,Prata,Bronze,Total,Colocação,Atletas,Homens,Mulheres
2020,Tóquio,7.0,6.0,8.0,21.0,12º,302,162,140
2016,Rio de Janeiro,7.0,6.0,6.0,19.0,13º,465,256,209
2012,Londres,3.0,5.0,9.0,17.0,22º,259,136,123
2008,Pequim,3.0,4.0,10.0,17.0,22º,277,144,133
2004,Atenas,5.0,2.0,3.0,10.0,16º,247,125,122
2000,Sydney,0,6.0,6.0,12.0,52º,205,111,94
1996,Atlanta,3.0,3.0,9.0,15.0,25º,225,159,66
1992,Barcelona,2.0,1.0,0,3.0,25º,197,146,51
1988,Seul,1.0,2.0,3.0,6.0,24º,170,135,35
1984,Los Angeles,1.0,5.0,2.0,8.0,19º,151,129,22
1980,Moscou,2.0,0,2.0,4.0,17º,109,94,15
1976,Montreal,0,0,2.0,2.0,36º,93,86,7
1972,Munique,0,0,2.0,2.0,41º,89,84,5
1968,Cidade do México,0,1.0,2.0,3.0,35º,84,81,3
1964,Tóquio,0,0,1.0,1.0,35º,68,67,1
1960,Roma,0,0,2.0,2.0,39º,81,80,1
1956,Melbourne,1.0,0,0,1.0,24º,48,47,1
1952,Helsinque,1.0,0,2.0,3.0,24º,108,103,5
1948,Londres,0,0,1.0,1.0,34º,81,70,11
1920,Antuérpia,1.0,1.0,1.0,3.0,15º,21,21,0
