"Edição","Cidade Sede","País Sede","Maior Número de Medalhas","Ano","País Sede (sigla)","GRE","FRA","EUA","GBR","SWE","BEL","FIN","AUS","NED","GER","ITA","JPN","MEX","FRG","CAN","URS","KOR","ESP","CHN","BRA","Média Total"
"I Olimpíada","Atenas","Grécia","USA ","1896","GRE","46","11","20","7","0","","","2","","13","0","","","","","","","","","",""
"II Olimpíada","Paris","França","FRA ","1900","FRA","0","101","47","30","1","15","","5","4","8","4","","1","","2","","","1","","",""
"III Olimpíada","Saint Louis","Estados Unidos","USA ","1904","EUA","2","0","239","2","","","","0","","13","0","","","","6","","","","","",""
"IV Olimpíada","Londres","Grã-Bretanha","GBR ","1908","GBR","3","19","47","146","25","8","5","5","2","13","4","","","","16","","","","","",""
"V Olimpíada","Estocolmo","Suécia","USA ","1912","SWE","2","14","63","41","65","6","26","7","3","25","6","0","","","8","","","","","",""
"VII Olimpíada","Antuérpia","Bélgica","USA ","1920","BEL","1","41","95","43","64","36","34","3","11","","23","2","","","9","","","2","","3",""
"VIII Olimpíada","Paris","França","USA ","1924","FRA","0","38","99","34","29","13","37","6","10","","16","1","0","","4","","","0","","0",""
"IX Olimpíada","Amesterdão","Países Baixos","USA ","1928","NED","0","21","56","20","25","3","25","4","19","31","19","5","0","","15","","","1","","",""
"X Olimpíada","Los Angeles","Estados Unidos","USA ","1932","EUA","0","19","103","16","23","0","25","5","7","20","36","18","2","","15","","","1","","0",""
"XI Olimpíada","Berlim","Alemanha","GER ","1936","GER","0","19","56","14","20","2","19","1","17","89","22","18","3","","9","","","","","0",""
"XIV Olimpíada","Londres","Grã-Bretanha","USA ","1948","EUA","0","29","84","23","44","7","20","13","16","","27","","5","","3","","2","1","","1",""
"XV Olimpíada","Helsinque","Finlândia","USA ","1952","FIN","0","18","76","11","35","4","22","11","5","24","21","9","1","","3","71","2","1","0","3",""
"XVI Olimpíada","Melbourne","Austrália","URS ","1956","AUS","1","14","74","24","19","2","15","35","","26","25","19","2","","6","98","2","","","1",""
"XVII Olimpíada","Roma","Itália","URS ","1960","ITA","1","5","71","20","6","4","5","22","3","42","36","18","1","","1","103","0","1","","2",""
"XVIII Olimpíada","Tóquio","Japão","USA ","1964","JPN","0","15","90","18","8","3","5","18","10","50","27","29","1","","4","96","3","0","","1",""
"XIX Olimpíada","Cidade do México","México","USA ","1968","MEX","1","15","107","13","4","2","4","17","7","33","16","25","9","26","5","91","2","0","","3",""
"XX Olimpíada","Munique","Alemanha Ocidental","URS ","1972","FRG","2","13","94","18","16","2","8","17","5","70","18","29","1","40","5","99","1","1","","2",""
"XXI Olimpíada","Montreal","Canadá","URS ","1976","CAN","0","9","94","13","5","6","6","5","5","94","13","25","2","39","11","125","6","2","","2",""
"XXII Olimpíada","Moscou","União Soviética","URS ","1980","URS","3","14","","21","12","1","8","9","3","126","15","","4","","","195","","6","","4",""
"XXIII Olimpíada","Los Angeles","Estados Unidos","USA ","1984","EUA","2","28","174","37","19","4","12","24","13","3","32","32","6","59","44","","19","5","32","8",""
"XXIV Olimpíada","Seul","Coreia do Sul","URS ","1988","KOR","1","16","94","24","11","2","4","14","9","107","14","14","2","40","10","132","33","4","28","6",""
"XXV Olimpíada","Barcelona","Espanha","EUN ","1992","ESP","2","29","108","20","12","3","5","27","15","82","19","22","1","","18","","29","22","54","3",""
"XXVI Olimpíada","Atlanta","Estados Unidos","USA ","1996","EUA","8","37","101","15","8","6","4","41","19","64","35","14","1","","22","","27","17","50","15",""
"XXVII Olimpíada","Sydney","Austrália","USA ","2000","AUS","13","38","93","28","12","5","4","58","25","56","34","18","6","","14","","28","11","59","12",""
"XXVIII Olimpíada","Atenas","Grécia","USA ","2004","GRE","16","33","101","30","7","3","2","50","22","49","32","37","4","","12","","30","19","63","10",""
