,Ano,País sede,Ouro olimpíadas,Prata olimpíadas,Bronze olimpíadas,Total olimpíadas,Colocação olimpíadas,Atletas olimpíadas,Homens olimpíadas,Mulheres olimpíadas,Modalidades olimpíadas,Bolsa atleta olimpíadas,Ouro paralimpíadas,Prata paralimpíadas,Bronze paralimpíadas,Total paralimpíadas,Colocação paralimpíadas,Atletas paralimpíadas,Homens paralimpíadas,Mulheres paralimpíadas,Modalidades paralimpíadas,Valor recebido pelo COB,Repassado as confederações
0,2020,Tóquio,7,6,8,21,12,302,162,140,35,242,22,20,30,72,7,259,163,96,20,329.0,121.3
1,2016,Rio,7,6,6,19,13,465,256,209,40,358,14,29,29,72,8,286,184,102,22,700.0,258.0
2,2012,Londres,3,5,9,17,22,259,136,123,32,114,21,14,8,43,7,182,133,69,18,677.2,250.4
3,2008,Pequim,3,4,10,17,22,277,144,133,32,156,16,14,17,47,9,188,133,55,17,615.4,297.2
4,2004,Atenas,5,2,3,10,16,247,125,122,0,0,14,12,7,33,14,98,76,22,13,0.0,0.0
5,2000,Sydney,0,6,6,12,52,205,111,94,0,0,6,10,6,22,24,64,53,11,10,0.0,0.0
6,1996,Atlanta,3,3,9,15,25,225,159,66,0,0,2,6,13,21,37,60,41,19,10,0.0,0.0
7,1992,Barcelona,2,1,0,3,25,197,146,51,0,0,3,0,4,7,27,43,33,10,5,0.0,0.0
8,1988,Seul,1,2,3,6,24,170,135,35,0,0,4,9,14,27,25,62,51,11,5,0.0,0.0
9,1984,Nova Iorque,1,5,2,8,19,151,129,22,0,0,7,17,4,28,24,29,23,6,2,0.0,0.0
10,1980,Holanda,2,0,2,4,17,109,94,15,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
11,1976,Toronto,0,0,2,2,36,93,86,7,0,0,0,1,0,1,31,33,31,2,9,0.0,0.0
12,1972,Munique,0,0,2,2,41,89,84,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
13,1968,Cidade do México,0,1,2,3,35,84,81,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
14,1964,Tóquio,0,0,1,1,35,68,67,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
15,1960,Roma,0,0,2,2,39,81,80,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
16,1956,Melbourne,1,0,0,1,24,48,47,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
17,1952,Helsinque,1,0,2,3,24,108,103,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
18,1948,Londres,0,0,1,1,34,81,70,11,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
19,1920,Antuérpia,1,1,1,3,15,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
