,NOCCode,Países,População,Ouro Tokyo,Prata Tokyo,Bronze Tokyo,Total medalhas Tokyo,Ranking medalhas Tokyo,Ouro paralimpíadas,Prata paralimpíadas,Bronze paralimpíadas,Total medalhas paralimpíadas,Ranking medalhas paralimpíadas,Ranking IDH global 2019,IDH 2019,Ouro Rio,Prata Rio,Bronze Rio,Total medalhas Rio,Ranking IDH global 2014,IDH 2014,Total medalhas,Ranking total olimpíadas,População por medalhas,Ranking pop por medalha
0,CHN,China,1347350000,38,32,18,88,2,96,60,51,207,1,85,0.761,26,18,26,70,90,0.727,605,2,2227024,107
1,GBR,Great Britain,62262000,22,21,22,65,4,41,38,45,124,2,13,0.932,27,23,17,67,14,0.907,876,3,71075,24
2,USA,United States,313382000,39,41,33,113,1,37,36,31,104,3,17,0.926,46,37,38,121,8,0.915,2827,1,110853,39
3,RUS,Russian Federation,143056383,20,28,23,71,3,36,33,49,118,4,52,0.824,19,17,20,56,50,0.798,586,4,244123,53
4,NED,Netherlands,16731770,10,12,14,36,9,25,17,17,59,5,8,0.944,8,7,4,19,5,0.922,415,13,40317,15
5,NED,Netherlands Antilles,227049,10,12,14,36,9,25,17,17,59,5,8,0.944,8,7,4,19,5,0.922,2,13,113524,40
6,UKR,Ukraine,45644419,1,6,12,19,16,24,47,27,98,6,74,0.779,2,5,4,11,81,0.747,135,23,338106,61
7,BRA,Brazil,192376496,7,6,8,21,12,22,20,30,72,7,84,0.765,7,6,6,19,75,0.755,127,12,1514775,93
8,AUS,Australia,22880619,17,7,22,46,6,21,29,30,80,8,8,0.944,8,11,10,29,2,0.935,511,8,44776,16
9,ITA,Italy,60776531,10,10,20,40,7,14,29,26,69,9,29,0.892,8,12,8,28,27,0.873,702,9,86576,30
10,AZE,Azerbaijan,9111100,0,3,4,7,33,14,1,4,19,10,88,0.756,1,7,10,18,78,0.751,44,14,207070,50
11,JPN,Japan,127650000,27,14,17,58,5,13,15,23,51,11,19,0.919,12,8,21,41,20,0.891,497,7,256841,54
12,GER,East Germany,16111000,10,11,16,37,8,13,12,18,43,12,6,0.947,17,10,15,42,6,0.916,519,6,31042,10
13,GER,Germany,8183020000,10,11,16,37,8,13,12,18,43,12,6,0.947,17,10,15,42,6,0.916,992,6,8249012,29
14,GER,West Germany,72562666,10,11,16,37,8,13,12,18,43,12,6,0.947,17,10,15,42,6,0.916,243,6,298611,57
15,IRA,Iran,76309000,3,2,2,7,33,12,11,1,24,13,70,0.783,3,1,4,8,69,0.766,68,34,1122191,87
16,FRA,France,65350000,10,12,11,33,10,11,15,28,54,14,26,0.901,10,18,14,42,22,0.888,836,5,78169,27
17,ESP,Spain,46196278,3,8,6,17,17,9,15,12,36,15,25,0.904,7,4,6,17,26,0.876,151,17,305935,58
18,UZB,Uzbekistan,29123400,3,0,2,5,42,8,5,6,19,16,106,0.72,4,2,7,13,114,0.675,35,20,832097,78
19,POL,Poland,38501000,4,5,5,14,19,7,6,12,25,17,35,0.88,2,3,6,11,36,0.843,304,22,126648,42
20,HUN,Hungary,9962000,6,7,7,20,13,7,5,4,16,18,40,0.854,8,3,4,15,44,0.828,498,19,20004,5
