Ano;Local;Ouro(Para);Prata(Para);Bronze(Para);Total(Para);Colocação(Para);Atletas(Para);Homens(Para);Mulheres(Para);Modalidades
2020;Tóquio;22;20;30;72;7;259;163;96;20
2016;Rio;14;29;29;72;8;286;184;102;22
2012;Londres;21;14;8;43;7;182;133;69;18
2008;Pequim;16;14;17;47;9;188;133;55;17
2004;Atenas;14;12;7;33;14;98;76;22;13
2000;Sydney;6;10;6;22;24;64;53;11;10
1996;Atlanta;2;6;13;21;37;60;41;19;10
1992;Barcelona;3;0;4;7;27;43;33;10;5
1988;Seul;4;9;14;27;25;62;51;11;5
1984;Nova Iorque;7;17;4;28;24;29;23;6;2
1976;Toronto;0;1;0;1;31;33;31;2;9
